title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
Javascript Idioms in D3.js,http://blog.sathomas.me/post/javascript-idioms,,,,,,,
Jérôme Cukier portfolio,http://www.jeromecukier.net/blog/category/d3/,Jerome Cukier,collection,,,,,
Jim Vallandingham portfolio,http://vallandingham.me/,Jim Vallandingham,collection,,,,,
Job Flow,https://github.com/fod/job_flow_vis,,source code,github code,,,,
Jobs by state,http://vallandingham.me/vis/jobs_by_state.html,,,,,,,
johan’s blocks,http://bl.ocks.org/johan,Johan Sundström,collection,bl.ocks,,,,
JSNetworkX: A port of the NetworkX graph lib to JS,http://felix-kling.de/JSNetworkX/,Felix Kling,code library,github,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-12-13%203.36.29%20PM.png,
Kavrayskiy VII Projection,http://bl.ocks.org/3710082,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3710082/raw/thumbnail.png,12/6/2012
Kepler’s Tally of Planets,http://www.nytimes.com/interactive/science/space/keplers-tally-of-planets.html?smid=tw-share&_r=0,Jonathan Corum,standalone visualization,nytimes,,python; pandas; coffeescript,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-18-13%2011.48.49%20AM.png,
Kernel Density Estimation,http://bl.ocks.org/4341954,Mike Bostock,code viewer,bl.ocks,histogram; kde,,https://gist.github.com/mbostock/4341954/raw/thumbnail.png,12/19/2012
Kind of 3D with D3,http://www.web-maps.com/gisblog/?p=1370,Randy George,blog post,,map,topojson,,
Koalas to the Max,http://www.koalastothemax.com/,,,,,,https://a248.e.akamai.net/camo.github.com/7761b9d7b6cd69a9a5e38ef19c82e00a7ed77238/687474703a2f2f64336a732e6f72672f65782f6b6f616c61732e706e67,
Koalas to the Max!,http://www.koalastothemax.com/,Vadim Ogievetsky,,,experiment,,,
L*a*b* and HCL color spaces,http://bl.ocks.org/3014589,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3014589/raw/thumbnail.png,12/11/2012
La Nuit Blanche,http://www.jeromecukier.net/projects/models/nuitblanche.html,Jérôme Cukier,,,,,,
Labeled Force Layout,http://bl.ocks.org/1377729,Mike Bostock,code viewer,bl.ocks,network,,https://a248.e.akamai.net/camo.github.com/d5244235a87c55b9062c4dfcab6603e1e61e826a/687474703a2f2f64336a732e6f72672f65782f666f7263652d6c6162656c732e706e67,
Labeled points,http://bl.ocks.org/601639,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/601639/raw/thumbnail.png,10/11/2012
Lagrange Projection,http://bl.ocks.org/3797591,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3797591/raw/thumbnail.png,12/23/2012
Lambert Azimuthal Equal-Area,http://bl.ocks.org/3757101,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3757101/raw/thumbnail.png,1/9/2013
Lambert Conformal Conic Projection,http://bl.ocks.org/3734321,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734321/raw/thumbnail.png,1/23/2013
Larrivée Projection,http://bl.ocks.org/3719042,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3719042/raw/thumbnail.png,12/23/2012
Laskowski Tri-Optimal,http://bl.ocks.org/4489342,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4489342/raw/thumbnail.png,1/8/2013
Last Chart! - See the Music,http://www.lastchart.com,,,,,,,
Latest Earthquakes,http://www.jasondavies.com/earthquakes/#3.00/20.00/805.00,Jason Davies,,,,,,
Lazy Scale Domain,http://bl.ocks.org/3517374,Mike Bostock,code viewer,bl.ocks,,,,8/29/2012
Leaflet + D3js: Hexbin,http://bl.ocks.org/tnightingale/4668062,Tom Nightingale,code viewer,bl.ocks,map; hexbin,leaflet,https://gist.github.com/tnightingale/4668062/raw/7faefc8c260b7b308bd5f973103985a616b4ad62/thumbnail.png,
leaflet.d3,http://calvinmetcalf.github.io/leaflet.d3/,Calvin Metcalf,standalone visualization,,map,leaflet,http://s21.postimg.org/st6ou61jr/calvinmetcalf.png,
Leap Motion D3.js Demo ,https://github.com/schnipz/leap-motion-demos/,Mike Parsons,source code,github,,leapmotion,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-3-13%2011.03.13%20PM.png,
Learn how to make Data Visualizations with D3.js,http://www.dashingd3js.com/,Dashingd3js,Introductory tutorials,,,,,
Left-Aligned Ticks,http://bl.ocks.org/1399097,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1399097/raw/thumbnail.png,10/11/2012
Legend,http://bl.ocks.org/3918369,Ziggy Jonsson,code viewer,bl.ocks,legend,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%209.23.30%20AM.png,
Leibniz Spiral,http://www.jasondavies.com/leibniz-spiral/,Jason Davies,,,math,,,
Les Misérables Co-occurrence Matrix,http://bost.ocks.org/mike/miserables/,Mike Bostock,,,matrix,,https://a248.e.akamai.net/camo.github.com/5e1e7da1bf7835505a72d4f252a0d5d69fe3bc7a/687474703a2f2f64336a732e6f72672f65782f6d6973657261626c65732e706e67,
Let’s Make a Map,http://bost.ocks.org/mike/map/,Mike Bostock,Specific tutorials,,map,,,
Letter Frequency,http://bl.ocks.org/3310560,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3310560/raw/thumbnail.png,10/11/2012
Library for visualizing Go games,https://github.com/MonsieurCactus/hanejs,MrCactu5,code library,github,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-20-13%2011.21.13%20AM.png,
License Usage Dashboard,http://vallandingham.me/vis/matlab_license.html,,,,,,,
Life Expectancy,http://projects.flowingdata.com/life-expectancy/,,,,,,https://a248.e.akamai.net/camo.github.com/d922e5f6a3892ac444fccc7f7615e98f24e162d1/687474703a2f2f64336a732e6f72672f65782f776f726c642e706e67,
Life expectancy 1960-2009 choropleth,http://data.karmi.cz/d3/life-expectancy-map/,Karel Minařík,standalone visualization,,choropleth,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-10-13%209.32.48%20PM.png,
Life expectancy 1960-2009 panel chart,http://data.karmi.cz/d3/life-expectancy-panel-chart/,Karel Minařík,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-10-13%209.34.38%20PM.png,
Life expectancy 1960-2009 slopegraph ,http://data.karmi.cz/d3/life-expectancy-slopegraph-normalized/,Karel Minařík,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-10-13%209.38.43%20PM.png,
Limaçon as envolve of circles around a circle,http://jsfiddle.net/mrcactu5/fRgtF/4/,MrCactu5,code viewer,jsfiddle,math,angular,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-14-13%209.16.45%20AM.png,
Line Chart,http://bl.ocks.org/3883245,Mike Bostock,code viewer,bl.ocks,line chart,,https://gist.github.com/mbostock/3883245/raw/thumbnail.png,1/12/2013
Line Chart with tooltips,http://bl.ocks.org/1629644,,code viewer,bl.ocks,line chart,,,
"Line chart with zoom, pan, and axis rescale",http://bl.ocks.org/1182434,Stephen Bannasch,code viewer,bl.ocks,line chart,,,
Line Interpolation,http://bl.ocks.org/3310323,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3310323/raw/thumbnail.png,10/11/2012
Line Tension,http://bl.ocks.org/1016220,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1016220/raw/thumbnail.png,10/11/2012
Line Transition,http://bl.ocks.org/1642874,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1642874/raw/thumbnail.png,1/20/2013
Line Transition (Broken),http://bl.ocks.org/1643051,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1643051/raw/thumbnail.png,10/11/2012
Linear Gradient,http://bl.ocks.org/1086421,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1086421/raw/thumbnail.png,1/6/2013
Linear Programming,http://www.jasondavies.com/psum/lp/,Jason Davies,,,,,,
Lines with Rounded Turns,http://bl.ocks.org/4062919,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4062919/raw/thumbnail.png,12/14/2012
Linked Jazz network graph,linkedjazz.org/network/,Matt Miller,,,network,,,
List of all the Gists from Mike Bostock,http://www.cloudshapes.co.uk/labs/mike-bostock-gists/,Roland Dunn,collection,,,,,
Littrow,http://bl.ocks.org/4459071,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4459071/raw/thumbnail.png,1/4/2013
Live coding based on Bret Victor's Inventing on Principle talk,http://livecoding.gabrielflor.it,,,,,,,
Loading Adobe Photoshop ASE color palette,http://bl.ocks.org/3173233,,code viewer,bl.ocks,,,,
Lobster Catch Analyst,http://catchanalyst.co.nz/,Jamie Popkin,,,map,,,
London d3.js User Group,http://lanyrd.com/series/london-d3-js/,,Meetup,,,,,
London Olympics Perceptions - Donuts to Chord Diagram Transition,http://www.visualizing.org/visualizations/uk-olympic-sentiment-analysis,Kyle Foreman; Peter Hamilton; Cristina Grigoruta,,,,,,
Long Scroll,http://bl.ocks.org/3689677,Jason Davies,code viewer,bl.ocks,table,,,
Loupe,http://bl.ocks.org/587424,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/587424/raw/thumbnail.png,12/18/2012
Loximuthal,http://bl.ocks.org/3867220,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3867220/raw/thumbnail.png,12/23/2012
Major League Baseball Home Runs 1995-2010,http://visual-baseball.com/d3/baseball/Drillable_Bar_Charts/HR.html,Ken Cherven,,,,,,
Making maps with d3.js,https://docs.google.com/presentation/d/18K2h8LQNzplVU1sVkYS5iEawhDsBrsFwJpRwb-whFtg,Demeter Sztanko,slides,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-7-13%2011.00.30%20AM.png,
Mandel for Controller Bulldog Budget,http://budget.brettmandel.com/,Ben Garvey,standalone visualization,,treemap,,,
Manipulating data like a boss with d3,http://www.jeromecukier.net/blog/2012/05/28/manipulating-data-like-a-boss-with-d3/,Jerome Cukier,Introductory tutorials,,,,,
Manual Axis Interpolation,http://bl.ocks.org/2983699,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2983699/raw/thumbnail.png,10/11/2012
Map from GeoJSON data with zoom/pan,http://bl.ocks.org/2322933,,code viewer,bl.ocks,map,,,
Map of all M2.5+ earthquakes of the last 24h.,http://bl.ocks.org/benelsen/4969007,Ben Elsen,code viewer,bl.ocks,map,,https://gist.github.com/benelsen/4969007/raw/72dfdae899fb04e536bf4a1ea5fc128c09f822f8/thumbnail.png,21/02/2013
Map of Germany using D3.js and Simplify.js,http://milkator.wordpress.com/2013/04/25/playing-with-d3-simplify-js/,Ralf Klammer,blog post,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-29-13%209.23.31%20AM.png,
Map of pro sports teams by territory,http://noahveltman.com/teams/,Noah Veltman,standalone visualization,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-25-13%205.08.18%20PM.png,
Map Projection Distortions,http://bl.ocks.org/3709000,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3709000/raw/thumbnail.png,10/11/2012
Map with faux-3D globe,http://dev.geosprocket.com/d3/finder/,Bill Morris,standalone visualization,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-7-13%202.47.40%20PM.png,
Mapbox: add vector features to your map with D3,http://mapbox.com/mapbox.js/example/vectors-with-d3/,,,,map,,,
Mapping Hate Crimes in Iran,https://jeromegagnonvoyer.wordpress.com/2013/04/17/creating-a-data-visualization-tool-using-d3-js-crossfilter-and-leaflet-js/,Jérôme Gagnon-Voyer,blog post,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-28-13%209.28.46%20AM.png,
Maps and sound,http://littleearth.ca/jsmag/,Jamie Popkin,,,map,,,
Maps Garage: Exploring Map Data with Crossfilter,https://www.youtube.com/watch?v=t4LI7moi5-Q,Brendan Kenny,video,youtube,map,crossfilter; google maps,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-29-13%201.38.41%20PM.png,
Marey’s Trains,http://bl.ocks.org/mbostock/5544008,Mike Bostock,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-9-13%208.56.12%20AM.png,
Margin Convention,http://bl.ocks.org/3019563,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3019563/raw/thumbnail.png,12/29/2012
Marimekko Chart,http://bl.ocks.org/1005090,Mike Bostock,code viewer,bl.ocks,marimekko,,http://bl.ocks.org/d/1005090/thumbnail.png,12/19/2012
Markov processes,http://www.jeromecukier.net/projects/models/markov.html,Jérôme Cukier,,,math,,,
Marmoset chimerism dotplot,http://goo.gl/UEaFW,David Rio Deiros,,,dot plot,,,
Masking with external svg elements,http://bl.ocks.org/1503463,,code viewer,bl.ocks,,,,
MathJax label,http://bl.ocks.org/3391642,Chris B. Rich,code viewer,bl.ocks,label,mathjax,,
Matrix Layout,http://bl.ocks.org/1009139,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1009139/raw/thumbnail.png,12/20/2012
Maurer No. 73,http://bl.ocks.org/4479547,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4479547/raw/thumbnail.png,1/7/2013
Men’s 100m Olympic champions,http://www.deepakg.com/prog/2012/07/visualising-the-mens-100m-olympic-champions-with-d3-js/,Deepak Gulati,blog post,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-9-13%2010.42.55%20AM.png,
Mercator,http://bl.ocks.org/1653763,,code viewer,bl.ocks,map,,,
Mercator Projection,http://bl.ocks.org/2869760,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2869760/raw/thumbnail.png,12/21/2012
Merge Sort,http://bl.ocks.org/1243323,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1243323/raw/thumbnail.png,12/19/2012
Meshu turns your places into beautiful objects.,http://meshu.io/,,product,,,,,
Metrica,https://getmetrica.com/,Metrica,product,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-10-13%201.25.55%20PM.png,
Metropolitan Unemployment,http://bl.ocks.org/mbostock/4736806,Mike Bostock,code viewer,bl.ocks,line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-17-13%206.00.14%20PM.png,
Mexican Presidential Election 2012,http://blog.diegovalle.net/2013/02/mexican-presidential-election-by.html,Diego Valle-Jones,blog post,,choropleth,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-25-13%204.57.04%20PM.png,
Mike Bostock portfolio,http://bost.ocks.org/mike/,Mike Bostock,collection,,,,,
Miller Projection,http://bl.ocks.org/3734333,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734333/raw/thumbnail.png,12/6/2012
Minimalist example of reusable D3.js plugin,http://bl.ocks.org/cpbotha/5073718,Charl Botha,code viewer,bl.ocks,label,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-3-13%208.31.59%20AM.png,
Minute: record of all of my keystrokes,http://macwright.org/minute/,Tom MacWright,,,,,,
Mirrored Easing,http://bl.ocks.org/3145795,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3145795/raw/thumbnail.png,10/11/2012
Misc. Examples,http://labratrevenge.com/experiments,Justin Palmer,,,,,,
Miscellaneous utilities for D3.js,https://github.com/nrabinowitz/d3_utils/blob/master/d3.util.js,Nick Rabinowitz,source code,github code,,,,
Mitchell's Best-Candidate,http://bl.ocks.org/1893974,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1893974/raw/thumbnail.png,10/11/2012
Mobile Patent Lawsuits,http://www.jasondavies.com/mobile-lawsuits/,Jason Davies,,,chord diagram,,http://kwout.com/cutout/8/tm/dx/5az_w200.jpg,
Mobile Patent Suits,http://bl.ocks.org/1153292,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1153292/raw/thumbnail.png,1/28/2013
Modal Logic Playground,http://rkirsling.github.io/modallogic/,Ross Kirsling,blog post,,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-15-13%209.22.00%20AM.png,
Modifying a Force Layout,http://bl.ocks.org/1095795,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1095795/raw/thumbnail.png,1/11/2013
Moiré Patterns,http://bl.ocks.org/714554,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/714554/raw/thumbnail.png,12/19/2012
Molecule,http://bl.ocks.org/3037015,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3037015/raw/thumbnail.png,10/11/2012
Mollweide,http://bl.ocks.org/3734336,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734336/raw/thumbnail.png,1/16/2013
Mollweide Hemispheres,http://bl.ocks.org/4498292,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4498292/raw/thumbnail.png,1/9/2013
Mollweide Watercolour,http://www.jasondavies.com/maps/raster/mollweide/,Jason Davies,standalone visualization,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-23-13%209.30.54%20AM.png,
Monday-based Calendar,http://bl.ocks.org/1648635,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1648635/raw/thumbnail.png,10/11/2012
Money Wins Elections,http://letsfreecongress.org/,Tony Chu,blog post,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-24-13%205.12.01%20PM.png,
Monotone Interpolation Bug,http://bl.ocks.org/3310187,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3310187/raw/thumbnail.png,10/11/2012
Monotone Line Interpolation,http://bl.ocks.org/3310233,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3310233/raw/thumbnail.png,10/11/2012
Monte Carlo simulation of bifurcations in the logistic map,http://www.jasondavies.com/bifurcation/,Jason Davies,,,math,,,
Month Axis,http://bl.ocks.org/1849162,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1849162/raw/thumbnail.png,10/11/2012
More Data Visualization Libraries Based on D3.JS,http://mikemcdearmon.com/portfolio/techposts/charting-libraries-using-d3,Mike McDearmon,blog post,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-17-13%209.44.30%20AM.png,
More Introduction to D3,http://thecodingtutorials.blogspot.com/search/label/D3,Andrew Davis,Introductory tutorials,,,,,
Morley's trisector theorem,http://www.jasondavies.com/morley-triangle/,Jason Davies,,,math,,,
Morphogenesis Simulation,http://bl.ocks.org/MattWoelk/5687467,Matt Woelk,code viewer,bl.ocks,voronoi,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-1-13%2010.30.08%20AM.png,
Most simple d3.js stack bar chart from matrix,http://javadude.wordpress.com/2012/06/18/d3-js-most-simple-stack-layout-with-bars/,Sven Hafner,tutorial,,stacked bar chart,,,
mousewheel-zoom + click-to-center,http://bl.ocks.org/2206340,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206340/raw/thumbnail.png,1/14/2013
Multi-Foci Force Layout,http://bl.ocks.org/1021841,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1021841/raw/thumbnail.png,12/20/2012
Multi-Foci Force Layout,http://bl.ocks.org/1249681,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1249681/raw/thumbnail.png,12/20/2012
Multi-Foci Force Layout,http://bl.ocks.org/1804919,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1804919/raw/thumbnail.png,12/20/2012
Multi-Series Line Chart,http://bl.ocks.org/3884955,Mike Bostock,code viewer,bl.ocks,multi line chart,,https://gist.github.com/mbostock/3884955/raw/thumbnail.png,1/26/2013
Multi-series Line Chart with Long Format Data (columns instead of rows),http://bl.ocks.org/natemiller/20f9bd99d1795e3a0b1c,Nate Miller,code viewer,bl.ocks,line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-22-13%204.13.08%20PM.png,
Multi-Series Line to Stacked Area Chart Transition,http://bl.ocks.org/4390054,Tim Swast,code viewer,bl.ocks,line chart; stacked area chart,,,
Multi-Value Maps,http://bl.ocks.org/3305515,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3305515/raw/thumbnail.png,10/11/2012
Multiline chart with brushing and mouseover,http://bl.ocks.org/4618602,Gerd Niemetz,code viewer,bl.ocks,line chart,,http://kwout.com/cutout/9/jz/hk/nif_w200.jpg,
Multiple Area charts and a brush tool,http://bl.ocks.org/3630001,Tyler Craft,code viewer,bl.ocks,area chart,,,
Multiple area charts with d3.js,http://tympanus.net/codrops/2012/08/29/multiple-area-charts-with-d3-js/,Tyler Craft,Specific tutorials,,area chart,,,
Multiple time-series with object constancy,http://bl.ocks.org/4175202,Nikhil Sonnad,code viewer,bl.ocks,time series,,,
Multiple visualization from the Société Typographique de Neuchâtel,http://chop.leeds.ac.uk/stn/interface/gallery.php,Vincent Hiribarren,,,,,,
Natural Earth,http://bl.ocks.org/4479477,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4479477/raw/thumbnail.png,1/7/2013
NCAA 2012 March Madness Power Rankings,http://thepowerrank.com/visual/NCAA_Tournament_Predictions,Angi Chau,standalone visualization,,circular tree,,https://a248.e.akamai.net/camo.github.com/cdab777c353917ce95dc10e71a7b617928df061c/687474703a2f2f64336a732e6f72672f65782f6e6361612e706e67,
Nell–Hammer Projection,http://bl.ocks.org/3734342,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734342/raw/thumbnail.png,12/23/2012
Nested Selections,http://bost.ocks.org/mike/nest/,Mike Bostock,Introductory tutorials,,,,,
New York Block Groups,http://bl.ocks.org/mbostock/5996232,Mike Bostock,code viewer,bl.ocks,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%207-15-13%2012.11.52%20AM.png,
New Zealand Earthquakes Pattern of Life,http://bl.ocks.org/4425979,d3noob,standalone visualization,bl.ocks,scatterplot; timeline,,https://gist.github.com/mbostock/4425979/raw/thumbnail.png,
Newton's balls,http://bl.ocks.org/zjonsson/1706849,Ziggy Jonsson,code viewer,bl.ocks,physics,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-30-13%209.46.07%20AM.png,
Newton's cradle,http://bl.ocks.org/ZJONSSON/1706523,Ziggy Jonsson,code viewer,bl.ocks,physics,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-29-13%205.18.13%20PM.png,
NFL salaries by team and position,"http://www.guardian.co.uk/sport/interactive/2013/jan/30/nfl-salaries-team-position#baltimore-ravens,san-francisco-49ers",Julian Burgess,news,,bar chart; bubble chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.33.24%20PM.png,
Nodal is a fun way to view your GitHub network graph,http://nodal.me/login,Jesse Vogt; Matt Stockton; Kris Gösser,,,network,,,
Node-Link Tree,http://bl.ocks.org/4063550,,code viewer,bl.ocks,network,,https://a248.e.akamai.net/camo.github.com/e646acd936244a6db8a140fb0e1e421d95b97d8e/687474703a2f2f64336a732e6f72672f65782f747265652e706e67,
Non-contiguous Cartogram,http://bl.ocks.org/4055908,,code viewer,bl.ocks,cartogram,,https://a248.e.akamai.net/camo.github.com/2e049fa2c568399a4bb5d190b6e178fbabcd323b/687474703a2f2f64336a732e6f72672f65782f636172746f6772616d2e706e67,
Non-Contiguous Cartogram,http://bl.ocks.org/843177,Mike Bostock,code viewer,bl.ocks,cartogram,,https://gist.github.com/mbostock/843177/raw/thumbnail.png,10/11/2012
Non-contiguous cartogram of seats allocated in the canadian House of Commons,http://bl.ocks.org/4704168,Tom Nightingale,code viewer,bl.ocks,cartogram,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-8-13%2010.22.08%20AM.png,
Normalized Stacked Bar Chart,http://bl.ocks.org/3886394,Mike Bostock,code viewer,bl.ocks,stacked bar chart,,https://gist.github.com/mbostock/3886394/raw/thumbnail.png,10/13/2012
Number of heat stroke,http://shimz.me/blog/d3-js/2451,清水正行,blog post,,bubble chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-6-13%2012.41.28%20AM.png,
Number of unique rectangle-free 4-colourings for an nxm grid,http://www.jasondavies.com/17x17/,Jason Davies,,,math,,,
NVD3,http://nvd3.org/,Bob Monteverde,code library,github page,,,,
NVD3 for BI,http://www.rockstarstatistics.com/2013/05/18/nvd3-for-bi-freecodeforyou/,Ryan Gehring,blog post,,dashboard,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-18-13%2012.38.42%20PM.png,
nvd3.py,https://github.com/goulu/Goulib,Philippe Guglielmetti,code plugin,github,line chart; area chart; bar chart; scatterplot,nvd3,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-29-13%201.51.53%20PM.png,
"NY Times Strikeouts Graphic, recreated using rCharts and PolychartJS",http://glimmer.rstudio.com/ramnathv/strikeouts/,Ramnath Vaidyanathan,standalone visualization,,,rchart; polychart,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-17-13%201.00.22%20PM.png,
NYC Bike Share,http://glimmer.rstudio.com/ramnathv/NYCBikeShare/,Ramnath Vaidyanathan,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-1-13%2010.31.49%20AM.png,
NYC D3.js,http://www.meetup.com/NYC-D3-JS/,,Meetup,,,,,
Obesity map,http://tributary.io/inlet/5651806,Ian Johnson,code viewer,tributary,cartogram,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-26-13%2012.17.55%20AM.png,
Object Constancy,http://bost.ocks.org/mike/constancy/,Mike Bostock,Introductory tutorials,,,,,
OECD Health Government Spending and Obesity Rates (nvd3),http://ameliamango.com/fatness.html,Amelia Mango,,,,,,
offsetX / offsetY,http://bl.ocks.org/1854471,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1854471/raw/thumbnail.png,10/11/2012
offsetX / offsetY,http://bl.ocks.org/1865422,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1865422/raw/thumbnail.png,10/11/2012
Old Visualizations Made New Again,http://vallandingham.me/vis/,Jim Vallandingham,,,,,,
Oliver Rolle / Logarithmic Line Chart,http://bl.ocks.org/1341679,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1341679/raw/thumbnail.png,10/11/2012
Olympic Medal Rivalry,http://blog.new-bamboo.co.uk/2012/06/22/olympic-medal-rivalry,Makoto Inoue,,,,,,
OMG Particles!,http://bl.ocks.org/1062544,Mike Bostock,code viewer,bl.ocks,experiment,,https://gist.github.com/mbostock/1062544/raw/thumbnail.png,12/17/2012
One Path for All Links,http://bl.ocks.org/1579132,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1579132/raw/thumbnail.png,12/20/2012
Open Knowledge Festival Hashtag Graph Visualization,http://okfestival.org/hashtag/#visualisation,,standalone visualization,,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%204.17.48%20PM.png,
